x	y	phi
4	20	2.55
4.5	20	2.55
5	20	2.51
5.5	20	2.5
6	20	2.47
6.5	20	2.46
7	20	2.46
7.5	20	2.45
8	20	2.44
8.5	20	2.45
9	20	2.44
9.5	20	2.46
10	20	2.47
10.5	20	2.5
11	20	2.52
11.5	20	2.56
12	20	2.6
12.5	20	2.62
4	18.5	3.02
4.5	18.5	3.01
5	18.5	3
5.5	18.5	2.98
6	18.5	2.97
6.5	18.5	2.98
7	18.5	2.97
7.5	18.5	2.97
8	18.5	2.96
8.5	18.5	2.97
9	18.5	2.99
9.5	18.5	2.99
10	18.5	3
10.5	18.5	3.02
11	18.5	3.03
11.5	18.5	3.04
12	18.5	3.07
12.5	18.5	3.08
4	17	3.41
4.5	17	3.41
5	17	3.4
5.5	17	3.4
6	17	3.39
6.5	17	3.39
7	17	3.4
7.5	17	3.41
8	17	3.42
8.5	17	3.42
9	17	3.41
9.5	17	3.42
10	17	3.44
10.5	17	3.45
11	17	3.46
11.5	17	3.46
12	17	3.47
13	17	3.48
4	15	4.02
5	15	4.03
6	15	4.04
7	15	4.09
8	15	4.1
9	15	4.1
10	15	4.09
11	15	4.1
12	15	4.1
13	15	4.07
4	12	4.85
5	12	4.95
6	12	5.03
7	12	5.11
8	12	5.16
9	12	5.17
10	12	5.14
11	12	5.1
12	12	4.99
13	12	4.91
4	9	5.61
5	9	5.81
6	9	6.07
7	9	6.27
10	9	6.3
11	9	6.07
12	9	5.85
13	9	5.67
4	6	6.11
5	6	6.37
6	6	6.55
7	6	6.55
8	6	6.55
9	6	6.55
10	6	6.55
11	6	6.55
12	6	6.42
13	6	6.2
4	3	6.23
5	3	6.4
6	3	6.55
7	3	6.55
8	3	6.55
9	3	6.55
10	3	6.55
11	3	6.55
12	3	6.45
13	3	6.33
4	22	1.93
5	22	1.83
6	22	1.75
7	22	1.7
8	22	1.69
9	22	1.71
10	22	1.77
11	22	1.85
12	22	1.96
13	22	2.07
4	25	1.02
5	25	0.66
6	25	0.5
7	25	0.45
8	25	0.44
9	25	0.45
10	25	0.5
11	25	0.68
12	25	1.01
13	25	1.31
4	19.5	2.72
4.5	19.5	2.7
5	19.5	2.67
5.5	19.5	2.65
6	19.5	2.63
6.5	19.5	2.63
7	19.5	2.63
7.5	19.5	2.62
8	19.5	2.62
8.5	19.5	2.62
9	19.5	2.63
9.5	19.5	2.64
10	19.5	2.66
10.5	19.5	2.68
11	19.5	2.7
11.5	19.5	2.72
12	19.5	2.75
12.5	19.5	2.77
4	18	3.14
4.5	18	3.13
5	18	3.13
5.5	18	3.12
6	18	3.11
6.5	18	3.11
7	18	3.11
7.5	18	3.11
8	18	3.12
8.5	18	3.12
9	18	3.12
9.5	18	3.13
10	18	3.14
10.5	18	3.16
11	18	3.17
11.5	18	3.19
12	18	3.2
12.5	18	3.21
4	14	4.29
5	14	4.34
6	14	4.38
7	14	4.4
8	14	4.45
9	14	4.45
10	14	4.45
11	14	4.43
12	14	4.4
13	14	4.36
4	11	5.09
5	11	5.26
6	11	5.37
7	11	5.51
8	11	5.57
9	11	5.59
10	11	5.54
11	11	5.43
12	11	5.34
13	11	5.21
